review_no,singular_tag,plural_tag,decision,merge_into,reviewer_notes,review_author,is_flagged_review_pair
95,jihad song,jihad songs,Merge,jihad song,Flagged: sensitive/thematic; retain for analysis with careful interpretation.,,True
96,king,kings,Keep separate,,Keep separate. Flagged: `king` is subjective/honorific; `kings` is unclear.,,True
97,my favourite,my favourites,Merge,my favourite,Flagged: personal preference.,,True
98,pioneer,pioneers,Merge,pioneer,Flagged: evaluative/historical.,,True
99,awesome song,awesome songs,Merge,awesome song,Flagged: subjective evaluation.,,True
100,boysband,boysbands,Merge,boysband,,,False
101,tune,tunes,Merge,tune,Flagged: generic/low-information.,,True
102,as tag,as tags,Merge,as tag,Flagged: meta/personal category.,,True
103,best song,best songs,Merge,best song,Flagged: subjective/personal.,,True
104,blog,blogs,Merge,blog,Flagged: contextual/meta.,,True
105,christmas song,christmas songs,Merge,christmas song,,,False
106,heavenly voice,heavenly voices,Merge,heavenly voice,Flagged: subjective evaluation.,,True
107,prince,princes,Keep separate,,Keep separate. Flagged: `prince` may be an artist-name tag; `princes` an honorific.,,True
108,water,waters,Keep separate,,Keep separate. Flagged: ambiguous thematic/name reference.,,True
109,bone,bones,Keep separate,,Keep separate. Flagged: ambiguous/thematic.,,True
110,cover version,cover versions,Merge,cover version,,,False
111,g-e-n-i-o,g-e-n-i-o-s,Merge,g-e-n-i-o,Flagged: subjective/evaluative.,,True
112,movie,movies,Merge,movie,Flagged: film/contextual.,,True
113,princes,princess,Keep separate,,Keep separate. Flagged: not a singular/plural pair; both may be subjective honorifics.,,True
114,apologetic,apologetics,Keep separate,,Keep separate. Flagged: different meanings; `apologetics` is religious/contextual.,,True
115,cowboy,cowboys,Merge,cowboy,Flagged: thematic/cultural.,,True
116,great b-side,great b-sides,Merge,great b-side,Flagged: subjective evaluation.,,True
117,great singer,great singers,Merge,great singer,Flagged: subjective evaluation.,,True
118,hymn,hymns,Merge,hymns,Flagged: religious/thematic.,,True
119,lesbian,lesbians,Merge,lesbian,Flagged: identity-related/cultural/ambiguous; do not treat as verified identity.,,True
120,one hit wonder,one hit wonders,Merge,one hit wonder,Flagged: evaluative/contextual.,,True
121,thrasher,thrashers,Merge,thrasher,,,False
122,actor,actors,Merge,actor,Flagged: biographical/non-musical.,,True
123,children,childrens,Merge,children,Flagged: broad/contextual.,,True
124,dante,dantes,Keep separate,,Keep separate. Flagged: ambiguous/name-related.,,True
125,female singer,female singers,Merge,female singer,,,False
126,fractured vision,fractured visions,Merge,fractured visions,Flagged: artist-name/self-referential.,,True
127,french vocalist,french vocalists,Merge,french vocalist,,,False
128,great vocal,great vocals,Merge,great vocals,Flagged: subjective evaluation.,,True
129,latin singer,latin singers,Merge,latin singer,,,False
130,matt,matts,Keep separate,,Keep separate. Flagged: personal/name-related.,,True
131,movie soundtrack,movie soundtracks,Merge,movie soundtrack,,,False
132,piano song,piano songs,Merge,piano song,,,False
133,record,records,Keep separate,,Keep separate. Flagged: generic/ambiguous.,,True
134,track,tracks,Merge,track,Flagged: generic/low-information.,,True
135,vision,visions,Merge,visions,Flagged: artist-name/self-referential.,,True
136,audiobook,audiobooks,Merge,audiobook,,,False
137,human condition,human conditions,Merge,human condition,Flagged: thematic.,,True
138,tv show,tv shows,Merge,tv show,Flagged: media/contextual.,,True
139,debut album,debut albums,Merge,debut album,,,False
140,philippine,philippines,Keep separate,,Keep separate: `Philippine` is an adjective; `Philippines` is the country name.,,False
141,00,00's,Merge,00,,AGladyshev,False
142,00,00s,Merge,2000s,,AGladyshev,False
143,1960s,1960's,Merge,1960s,,AGladyshev,False
144,'80s,1980s,Merge,1980s,,AGladyshev,False
145,1980s,1980 songs,Merge,1980s,,AGladyshev,False
146,1980s,1980's,Merge,1980s,,AGladyshev,False
147,1970s,1970's,Merge,1970s,,AGladyshev,False
148,1981,1981 songs,Merge,1981,,AGladyshev,False
149,1982,1982 songs,Merge,1982,,AGladyshev,False
150,1983,1983 songs,Merge,1983,,AGladyshev,False
151,1984,1984 songs,Merge,1984,,AGladyshev,False
152,1985,1985 songs,Merge,1985,,AGladyshev,False
153,1986,1986 songs,Merge,1986,,AGladyshev,False
154,1990's,1990s,Merge,1990s,,AGladyshev,False
155,2000's,2000s,Merge,2000s,,AGladyshev,False
156,00s,2000s,Merge,2000s,,AGladyshev,False
157,70's,1970s,Merge,1970s,,AGladyshev,False
158,90s,1990s,Merge,1990s,,AGladyshev,False
159,70,1970s,Merge,1970s,,AGladyshev,False
160,80,1980s,Merge,1980s,,AGladyshev,False
161,80's,1980s,Merge,1980s,,AGladyshev,False
162,70s,1970s,Merge,1970s,,AGladyshev,False
163,00s,2000s,Merge,2000s,,AGladyshev,False
