canonical_key,canonical_tag,distinct_users,distinct_artists,vote_rows,source_assignments,raw_tag_id_count,raw_variant_count,raw_variants,review_numbers,manual_review_notes,manual_review_flag,automatic_exclusion_reason,manual_flag_reason,is_flagged,semantic_content_eligible,semantic_exclusion_reason,single_user_tag,meets_min_artist_threshold,use_for_content_model,content_model_exclusion_reason
1987,1987,2,14,14,14,1,1,1987,,,False,,,False,True,,False,True,True,
1988,1988,2,20,20,20,1,1,1988,,,False,,,False,True,,False,True,True,
1989,1989,2,14,14,14,1,1,1989,,,False,,,False,True,,False,True,True,
1990,1990,3,26,26,26,1,1,1990,,,False,,,False,True,,False,True,True,
1990 in at nutshell,1990 in at nutshell,1,1,1,1,1,1,1990 in at nutshell,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
1990s,1990s,163,778,1621,1698,4,4,1990's | 1990s | 90's | 90s,154 | 158 | 230,,False,,,False,True,,False,True,True,
1991,1991,5,51,52,52,1,1,1991,,,False,,,False,True,,False,True,True,
1992,1992,4,65,66,66,1,1,1992,,,False,,,False,True,,False,True,True,
1993,1993,2,15,15,15,1,1,1993,,,False,,,False,True,,False,True,True,
1994,1994,3,18,18,18,1,1,1994,,,False,,,False,True,,False,True,True,
1995,1995,4,43,43,43,1,1,1995,,,False,,,False,True,,False,True,True,
1996,1996,4,44,44,44,1,1,1996,,,False,,,False,True,,False,True,True,
1997,1997,3,33,33,33,1,1,1997,,,False,,,False,True,,False,True,True,
1998,1998,3,9,9,9,1,1,1998,,,False,,,False,True,,False,True,True,
1999,1999,2,8,8,8,1,1,1999,,,False,,,False,True,,False,True,True,
1st take,1st take,1,1,1,1,1,1,1st take,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
1st vine,1st vine,1,7,7,7,2,2,1st  vine | 1st vine,,,False,,,False,True,,True,True,True,
2,2,1,1,1,1,1,1,2,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
2 99 records,2-99 records,1,1,1,1,1,1,2-99 records,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
2 meter sessies,2 meter sessies,1,10,10,10,1,1,2 meter sessies,,,False,,,False,True,,True,True,True,
2 normal,2 normal,1,1,1,1,1,1,2 normal,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
2 tone,2 tone,1,2,2,2,1,1,2 tone,,,False,,,False,True,,True,True,True,
2000,2000,2,8,8,8,1,1,2000,,,False,,,False,True,,False,True,True,
2000s,2000s,68,648,824,830,4,4,00 | 00s | 2000's | 2000s,142 | 155 | 156 | 163,,False,,,False,True,,False,True,True,
2000s diva,2000s diva,1,3,3,3,1,1,2000s diva,,,False,,,False,True,,True,True,True,
2001,2001,1,5,5,5,1,1,2001,,,False,,,False,True,,True,True,True,
2002,2002,2,7,7,7,1,1,2002,,,False,,,False,True,,False,True,True,
2003,2003,3,18,19,19,1,1,2003,,,False,,,False,True,,False,True,True,
2004,2004,3,15,16,16,1,1,2004,,,False,,,False,True,,False,True,True,
2005,2005,6,28,28,28,1,1,2005,,,False,,,False,True,,False,True,True,
2006,2006,4,36,36,36,1,1,2006,,,False,,,False,True,,False,True,True,
2007,2007,5,42,43,43,1,1,2007,,,False,,,False,True,,False,True,True,
2008,2008,14,126,137,137,1,1,2008,,,False,,,False,True,,False,True,True,
2008 american idol winner,2008 american idol winner,1,1,1,1,1,1,2008 american idol winner,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
2009,2009,18,73,81,81,1,1,2009,,,False,,,False,True,,False,True,True,
2010,2010,18,102,120,120,1,1,2010,,,False,,,False,True,,False,True,True,
2010 new release,2010 new release,1,1,1,1,1,1,2010 new release,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
2010s,2010s,2,20,21,21,1,1,2010s,,,False,,,False,True,,False,True,True,
2011,2011,2,2,2,2,1,1,2011,,,False,,,False,True,,False,True,True,
2011 domination,2011 domination,1,1,1,1,1,1,2011 domination,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
20s,20s,1,2,2,2,1,1,20s,,,False,,,False,True,,True,True,True,
20th century classical,20th century classical,1,1,1,1,1,1,20th century classical,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
212,212,1,1,1,1,1,1,212,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
21st century,21st century,1,4,4,4,1,1,21st century,,,False,,,False,True,,True,True,True,
21st century girl,21st century girl,1,1,1,1,1,1,21st century girl,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
2p falls theme music,2p falls theme music,1,1,1,1,1,1,2p falls theme music,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
2step,2step,1,1,1,1,1,1,2step,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
3 days grace,3 days grace,1,1,1,1,1,1,3 days grace,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
30 seconds to mars,30 seconds to mars,8,1,8,8,1,1,30 seconds to mars,,,False,,,False,True,,False,False,False,used on fewer than 2 distinct artists
300,300,1,1,1,1,1,1,300,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
30s,30s,2,7,8,8,1,1,30s,,,False,,,False,True,,False,True,True,
30stm,30stm,2,1,2,2,1,1,30stm,,,False,,,False,True,,False,False,False,used on fewer than 2 distinct artists
3oh3,3oh3,2,1,2,2,1,1,3oh3,,,False,,,False,True,,False,False,False,used on fewer than 2 distinct artists
4 4,4/4,1,8,8,8,1,1,4/4,,,False,,,False,True,,True,True,True,
40s,40s,2,11,13,13,1,1,40s,,,False,,,False,True,,False,True,True,
420,420,1,2,2,2,1,1,420,,,False,,,False,True,,True,True,True,
444,444,1,1,1,1,1,1,444,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
444hz,444hz,1,1,1,1,1,1,444hz,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
45,45,1,1,1,1,1,1,45,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
4700,4700,1,1,1,1,1,1,4700,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
4ad,4ad,8,15,20,20,1,1,4ad,,,False,,,False,True,,False,True,True,
4ever,4ever,1,1,1,1,1,1,4ever,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
4m4zinq,4m4zinq,1,74,74,74,1,1,4m4zinq,,,False,,,False,True,,True,True,True,
5 star,5-star,2,7,7,7,2,2,5 star | 5-star,,,False,,,False,True,,False,True,True,
5 star song,5 star song,1,3,3,3,1,1,5 star song,,,False,,,False,True,,True,True,True,
5 stars,5 stars,1,6,6,6,1,1,5 stars,,,False,,,False,True,,True,True,True,
50 cent,50 cent,7,3,8,8,1,1,50 cent,,,False,,,False,True,,False,True,True,
500 days of summer,500 days of summer,1,1,1,1,1,1,500 days of summer,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
50s revival,50s revival,1,1,1,1,1,1,50s revival,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
50s rock revival,50s rock revival,1,14,14,14,1,1,50s rock revival,,,False,,,False,True,,True,True,True,
528,528,1,1,1,1,1,1,528,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
528hz,528hz,1,1,1,1,1,1,528hz,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
6 string bass,6-string bass,1,2,2,2,1,1,6-string bass,,,False,,,False,True,,True,True,True,
60s favorites,60s favorites,1,1,1,1,1,1,60s favorites,,,False,personal preference or user behaviour,,True,False,personal preference or user behaviour,True,False,False,personal preference or user behaviour
60s garage,60s garage,1,6,6,6,1,1,60s garage,,,False,,,False,True,,True,True,True,
60s pop,60s pop,1,18,18,18,1,1,60s pop,,,False,,,False,True,,True,True,True,
60s psychedelic,60s psychedelic,1,7,7,7,2,2,60s psychedelic | 60s-psychedelic,,,False,,,False,True,,True,True,True,
60s rock,60s rock,1,1,1,1,1,1,60s rock,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
70's rock,70's rock,1,1,1,1,1,1,70's rock,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
70s jazz,70s jazz,1,1,1,1,1,1,70s jazz,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
70s pop,70s pop,1,16,16,16,1,1,70s pop,,,False,,,False,True,,True,True,True,
70s punk,70s punk,1,1,1,1,1,1,70s punk,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
70s rock,70s rock,3,3,3,3,1,1,70s rock,,,False,,,False,True,,False,True,True,
70ss,70ss,1,9,9,9,1,1,70ss,,,False,,,False,True,,True,True,True,
7100,7100,1,1,1,1,1,1,7100,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
77 punk,77 punk,2,6,7,7,1,1,77 punk,,,False,,,False,True,,False,True,True,
77 style punk,77 style punk,1,3,3,3,1,1,77 style punk,,,False,,,False,True,,True,True,True,
77punk,77punk,1,1,1,1,1,1,77punk,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
7800,7800,1,1,1,1,1,1,7800,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
78violet,78violet,2,3,3,3,1,1,78violet,,,False,,,False,True,,False,True,True,
7th floor,7th floor,1,1,1,1,1,1,7th floor,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
8 bit,8-bit,15,26,38,38,2,2,8 bit | 8-bit,,,False,,,False,True,,False,True,True,
808 and heartbreak,808 and heartbreak,1,2,2,2,1,1,808 and heartbreak,,,False,,,False,True,,True,True,True,
808 state,808 state,1,1,1,1,1,1,808 state,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
808s and heartbreak,808s and heartbreak,1,2,2,2,1,1,808s and heartbreak,,,False,,,False,True,,True,True,True,
808state,808state,1,1,1,1,1,1,808state,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
80er,80er,1,9,9,9,1,1,80er,,,False,,,False,True,,True,True,True,
80s alternative,80s alternative,1,1,1,1,1,1,80s alternative,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
80s awesome,80s awesome,1,11,11,11,1,1,80s awesome,,,False,,,False,True,,True,True,True,
80s dance,80s dance,1,5,5,5,1,1,80s dance,,,False,,,False,True,,True,True,True,
80s forever,80s forever,1,1,1,1,1,1,80s forever,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
80s garage,80s garage,1,4,4,4,1,1,80s garage,,,False,,,False,True,,True,True,True,
80s hard rock,80s hard rock,1,1,1,1,1,1,80s hard rock,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
80s hardcore,80s hardcore,2,27,27,27,1,1,80s hardcore,,,False,,,False,True,,False,True,True,
80s heavy metal,80s heavy metal,1,1,1,1,1,1,80s heavy metal,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
80s i like,80s i like,1,19,19,19,1,1,80s i like,,,False,personal preference or user behaviour,,True,False,personal preference or user behaviour,True,True,False,personal preference or user behaviour
80s metal,80s metal,2,18,19,19,1,1,80s metal,,,False,,,False,True,,False,True,True,
80s new wave,80s new wave,1,11,11,11,1,1,80s new wave,,,False,,,False,True,,True,True,True,
80s party,80s party,1,8,8,8,1,1,80s party,,,False,,,False,True,,True,True,True,
80s pop,80s pop,5,75,84,84,1,1,80s pop,,,False,,,False,True,,False,True,True,
80s pop espanol,80s pop espanol,1,6,6,6,1,1,80s pop espanol,,,False,,,False,True,,True,True,True,
80s pop metal,80s pop metal,1,1,1,1,1,1,80s pop metal,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
80s rock,80s rock,1,10,10,10,1,1,80s rock,,,False,,,False,True,,True,True,True,
80s rulez,80s rulez,1,1,1,1,1,1,80s rulez,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
80s songs not actually made in the 80s,80s songs not actually made in the 80s,1,1,1,1,1,1,80s songs not actually made in the 80s,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
80s stuff,80s stuff,1,3,3,3,1,1,80s stuff,,,False,,,False,True,,True,True,True,
80s y 90s,80s y 90s,1,1,1,1,1,1,80s y 90s,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
80ss,80ss,1,4,4,4,1,1,80ss,,,False,,,False,True,,True,True,True,
80z pop,80z pop,1,1,1,1,1,1,80z pop,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
80z rock,80z rock,1,1,1,1,1,1,80z rock,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
8500,8500,1,1,1,1,1,1,8500,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
8555,8555,1,1,1,1,1,1,8555,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
8600,8600,1,1,1,1,1,1,8600,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
8888,8888,1,1,1,1,1,1,8888,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
8bit,8bit,5,10,11,11,1,1,8bit,,,False,,,False,True,,False,True,True,
90 goods,90 goods,1,2,2,2,1,1,90 goods,,,False,,,False,True,,True,True,True,
9000,9000,1,2,2,2,1,1,9000,,,False,,,False,True,,True,True,True,
90210,90210,3,63,63,63,1,1,90210,,,False,,,False,True,,False,True,True,
90s classic,90s classic,1,2,2,2,1,1,90s classic,,,False,,,False,True,,True,True,True,
90s dance,90s dance,3,20,21,21,1,1,90s dance,,,False,,,False,True,,False,True,True,
90s fun,90s fun,1,3,3,3,1,1,90s fun,,,False,,,False,True,,True,True,True,
90s jam,90s jam,1,1,1,1,1,1,90s jam,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
90s lovee,90s lovee,1,2,2,2,1,1,90s lovee,,,False,,,False,True,,True,True,True,
90s metal,90s metal,1,5,5,5,1,1,90s metal,,,False,,,False,True,,True,True,True,
90s pop,90s pop,2,4,5,5,1,1,90s pop,,,False,,,False,True,,False,True,True,
90s pop espanol,90s pop espanol,1,4,4,4,1,1,90s pop espanol,,,False,,,False,True,,True,True,True,
90s rock,90s rock,3,10,10,10,1,1,90s rock,,,False,,,False,True,,False,True,True,
9100,9100,1,2,2,2,1,1,9100,,,False,,,False,True,,True,True,True,
9111,9111,1,1,1,1,1,1,9111,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
97x,97x,1,3,3,3,1,1,97x,,,False,,,False,True,,True,True,True,
:3,:3,1,6,6,6,1,1,:3,,,False,,,False,True,,True,True,True,
<3,<3,45,238,354,354,1,1,<3,,,False,,,False,True,,False,True,True,
a,a,3,3,3,3,1,1,a,,,False,,,False,True,,False,True,True,
a band for girls and pussies,a band for girls and pussies,1,1,1,1,1,1,a band for girls and pussies,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a blues prog rampage,a blues prog rampage,1,1,1,1,1,1,a blues prog rampage,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a brother and a friend,a brother and a friend,1,1,1,1,1,1,a brother and a friend,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a cappella,a cappella,4,8,8,8,3,3,a capella | a cappella | acapella,213 | 214,,False,,,False,True,,False,True,True,
a crock of crap,a crock of crap,1,1,1,1,1,1,a crock of crap,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a day to remember,a day to remember,2,1,2,2,1,1,a day to remember,,,False,,,False,True,,False,False,False,used on fewer than 2 distinct artists
a decade of hits,a decade of hits,1,1,1,1,1,1,a decade of hits,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a filthy lesson for lovers,a filthy lesson for lovers,1,1,1,1,1,1,a filthy lesson for lovers,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a floyd,a floyd,1,6,6,6,1,1,a floyd,,,False,,,False,True,,True,True,True,
a god on the earth,a god on the earth,1,16,16,16,1,1,a god on the earth,,,False,,,False,True,,True,True,True,
a ha,a-ha,3,2,4,4,1,1,a-ha,,,False,,,False,True,,False,True,True,
a mais temida,a mais temida,1,1,1,1,1,1,a mais temida,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a melhor de todas,a melhor de todas,1,1,1,1,1,1,a melhor de todas,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a mix of indie and hip hop,a mix of indie and hip hop,1,1,1,1,1,1,a mix of indie and hip hop,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a party in your bedroom all night long,a party in your bedroom all night long,1,1,1,1,1,1,a party in your bedroom all night long,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a perfect circle,a perfect circle,1,1,1,1,1,1,a perfect circle,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a piece of me,a piece of me,1,7,7,7,1,1,a piece of me,,,False,personal preference or user behaviour,,True,False,personal preference or user behaviour,True,True,False,personal preference or user behaviour
a rebours,a rebours,1,1,1,1,1,1,a rebours,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a special thing,a special thing,1,1,1,1,1,1,a special thing,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a teens,a-teens,1,1,1,1,1,1,a-teens,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a town in blue,a town in blue,1,1,1,1,1,1,a town in blue,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a voz mais bela de todas,a voz mais bela de todas,1,1,1,1,1,1,a voz mais bela de todas,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a well know classic rock of 70s,a well-know classic rock of 70s,1,1,1,1,1,1,a well-know classic rock of 70s,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a year without a rain,a year without a rain,1,1,1,1,1,1,a year without a rain,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
a7x,a7x,5,1,5,5,1,1,a7x,,,False,,,False,True,,False,False,False,used on fewer than 2 distinct artists
aaaaa,aaaaa,1,1,1,1,1,1,aaaaa,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
aaliyah,aaliyah,1,32,32,32,1,1,aaliyah,,,False,,,False,True,,True,True,True,
aana,aana,1,68,68,68,1,1,aana,,,False,,,False,True,,True,True,True,
aaron carter,aaron carter,1,1,1,1,1,1,aaron carter,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
abba,abba,3,3,4,4,1,1,abba,,,False,,,False,True,,False,True,True,
abba album,abba - album,1,1,1,1,1,1,abba - album,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
abba cover,abba cover,1,1,1,1,1,1,abba cover,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
abba live,abba - live,1,1,1,1,1,1,abba - live,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
aberdeen,aberdeen,1,1,1,1,1,1,aberdeen,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
about dreams,about dreams,1,1,1,1,1,1,about dreams,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
abraham son of teraj brother of najor and aram inspired music,abraham son of teraj brother of najor and aram inspired music,1,1,1,1,1,1,abraham son of teraj brother of najor and aram inspired music,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
abril,abril,1,1,1,1,1,1,abril,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
absofuckinglutely insane,absofuckinglutely insane,1,1,1,1,1,1,absofuckinglutely insane,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
absolute bomb rock punk track,absolute bomb rock-punk track,1,1,1,1,1,1,absolute bomb rock-punk track,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
absolute disco,absolute disco,1,16,16,16,1,1,absolute disco,,,False,,,False,True,,True,True,True,
absolutely amazing,absolutely amazing,1,4,4,4,1,1,absolutely amazing,,,False,,,False,True,,True,True,True,
absolutely genius,absolutely genius,2,3,4,4,1,1,absolutely genius,,,False,,,False,True,,False,True,True,
abstract,abstract,6,23,23,23,1,1,abstract,,,False,,,False,True,,False,True,True,
abstract hip hop,abstract hip-hop,8,35,38,38,2,2,abstract hip hop | abstract hip-hop,,,False,,,False,True,,False,True,True,
abyss,abyss,1,7,7,7,1,1,abyss,,,False,,,False,True,,True,True,True,
ac dc,ac dc,4,3,4,4,3,3,ac dc | ac/dc | acdc,235,,False,,,False,True,,False,True,True,
academy of country music awards,academy of country music awards,1,1,1,1,1,1,academy of country music awards,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
accordian,accordian,1,1,1,1,1,1,accordian,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
accordion,accordion,1,1,1,1,1,1,accordion,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
ace frehley,ace frehley,1,1,1,1,1,1,ace frehley,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
ace of spades,ace of spades,1,1,1,1,1,1,ace of spades,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
aces,aces,1,1,1,1,1,1,aces,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
acid,acid,12,18,20,20,1,1,acid,,,False,,,False,True,,False,True,True,
acid folk,acid folk,1,1,1,1,1,1,acid folk,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
acid hardcore,acid hardcore,1,1,1,1,1,1,acid hardcore,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
acid house,acid house,1,1,1,1,1,1,acid house,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
acid jazz,acid jazz,19,58,83,83,1,1,acid jazz,,,False,,,False,True,,False,True,True,
ackles,ackles,1,1,1,1,1,1,ackles,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
acme studios,acme studios,1,1,1,1,1,1,acme studios,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
acordeon,acordeon,1,1,1,1,1,1,acordeon,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
acous,acous,1,1,1,1,1,1,acous,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
acoustic,acoustic,191,590,1045,1046,3,3,acoustic | acustic | acustico,206 | 207,,False,,,False,True,,False,True,True,
acoustic blues,acoustic blues,2,5,5,5,1,1,acoustic blues,,,False,,,False,True,,False,True,True,
acoustic emo,acoustic emo,1,1,1,1,1,1,acoustic emo,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
acoustic folk,acoustic folk,1,2,2,2,1,1,acoustic folk,,,False,,,False,True,,True,True,True,
acoustic guitar,acoustic guitar,6,38,38,38,1,1,acoustic guitar,,,False,,,False,True,,False,True,True,
acoustic music,acoustic music,1,1,1,1,1,1,acoustic music,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
acoustic rock,acoustic rock,12,89,100,100,1,1,acoustic rock,,,False,,,False,True,,False,True,True,
