tagID,raw_tag,raw_distinct_users,raw_distinct_artists,raw_assignments,display_normalized,tag_key,base_display_tag,post_plural_key,canonical_key,canonical_tag,review_numbers,manual_review_notes,manual_review_flag
22,acid jazz,19,58,83,acid jazz,acid jazz,acid jazz,acid jazz,acid jazz,acid jazz,,,False
23,new age,57,108,237,new age,new age,new age,new age,new age,new age,,,False
24,pop,585,1725,5401,pop,pop,pop,pop,pop,pop,,,False
25,80s,248,803,2782,80s,80s,80s,1980s,1980s,1980s,144 | 145 | 146 | 160 | 161 | 222 | 229 | 231 | 242,,False
26,atmospheric,46,191,223,atmospheric,atmospheric,atmospheric,atmospheric,atmospheric,atmospheric,,,False
27,ethereal,32,89,127,ethereal,ethereal,ethereal,ethereal,ethereal,ethereal,,,False
28,deutsch,12,41,45,deutsch,deutsch,deutsch,deutsch,deutsch,deutsch,,,False
29,schlager,1,2,2,schlager,schlager,schlager,schlager,schlager,schlager,,,False
30,german,69,231,386,german,german,german,german,german,german,,,False
31,hi-nrg,2,4,4,hi-nrg,hi nrg,hi-nrg,hi nrg,hi nrg,hi-nrg,,,False
32,avant-garde,47,176,234,avant-garde,avant garde,avant-garde,avant garde,avant garde,avant-garde,246,,False
33,experimental,244,934,1702,experimental,experimental,experimental,experimental,experimental,experimental,,,False
34,minimal,39,150,263,minimal,minimal,minimal,minimal,minimal,minimal,,,False
35,cyberpunk,4,4,5,cyberpunk,cyberpunk,cyberpunk,cyberpunk,cyberpunk,cyberpunk,,,False
36,club house,1,1,1,club house,club house,club house,club house,club house,club house,,,False
37,groove,10,20,21,groove,groove,groove,groove,groove,groove,,,False
38,cafe del mar,3,7,8,cafe del mar,cafe del mar,cafe del mar,cafe del mar,cafe del mar,cafe del mar,,,False
39,dance,369,931,2726,dance,dance,dance,dance,dance,dance,,,False
40,gregorian chant,3,5,6,gregorian chant,gregorian chant,gregorian chant,gregorian chant,gregorian chant,gregorian chant,,,False
41,female vovalists,1,1,1,female vovalists,female vovalists,female vovalists,female vovalists,female vovalists,female vovalists,,,False
42,synth-pop,7,31,31,synth-pop,synth pop,synth pop,synth pop,synth pop,synth-pop,169 | 1691 | 1692,,False
43,classic 80s,1,1,1,classic 80s,classic 80s,classic 80s,classic 80s,classic 80s,classic 80s,,,False
44,glitch,18,46,51,glitch,glitch,glitch,glitch,glitch,glitch,,,False
45,u-cover,1,2,2,u-cover,u cover,u-cover,u cover,u cover,u-cover,,,False
46,melancholy,32,110,115,melancholy,melancholy,melancholy,melancholy,melancholy,melancholy,,,False
47,idm,78,293,632,idm,idm,idm,idm,idm,idm,,,False
48,vu-us,1,1,1,vu-us,vu us,vu-us,vu us,vu us,vu-us,,,False
49,female vocalist,99,361,578,female vocalist,female vocalist,female vocalist,female vocalist,female vocalist,female vocalist,1 | 262 | 263 | 276 | 277,,False
50,modern classical,2,4,4,modern classical,modern classical,modern classical,modern classical,modern classical,modern classical,,,False
51,clicks and cuts,1,1,1,clicks and cuts,clicks and cuts,clicks and cuts,clicks and cuts,clicks and cuts,clicks and cuts,,,False
52,databloem,1,2,2,databloem,databloem,databloem,databloem,databloem,databloem,,,False
53,field recording,1,2,2,field recording,field recording,field recording,field recording,field recording,field recording,82,,False
54,october man recordings,1,1,1,october man recordings,october man recordings,october man recordings,october man recordings,october man recordings,october man recordings,,,False
55,greece,1,2,2,greece,greece,greece,greece,greece,greece,,,False
56,melancholic,31,120,150,melancholic,melancholic,melancholic,melancholic,melancholic,melancholic,,,False
57,clicks'n'cuts,1,1,1,clicks'n'cuts,clicks'n'cuts,clicks'n'cuts,clicks'n'cuts,clicks'n'cuts,clicks'n'cuts,,,False
58,halbischt,1,1,1,halbischt,halbischt,halbischt,halbischt,halbischt,halbischt,,,False
59,drone,20,63,94,drone,drone,drone,drone,drone,drone,,,False
60,melodramatic popular song minimal,0,0,0,melodramatic popular song minimal,melodramatic popular song minimal,melodramatic popular song minimal,melodramatic popular song minimal,melodramatic popular song minimal,melodramatic popular song minimal,,,False
61,industrial,143,355,871,industrial,industrial,industrial,industrial,industrial,industrial,271,,False
62,trip hop,16,29,38,trip hop,trip hop,trip-hop,trip hop,trip hop,trip hop,171,,False
63,basses frequences,1,1,1,basses frequences,basses frequences,basses frequences,basses frequences,basses frequences,basses frequences,,,False
64,mille plateaux,1,1,1,mille plateaux,mille plateaux,mille plateaux,mille plateaux,mille plateaux,mille plateaux,,,False
65,folktronica,4,4,5,folktronica,folktronica,folktronica,folktronic,folktronic,folktronic,306,,False
66,abstract,6,23,23,abstract,abstract,abstract,abstract,abstract,abstract,,,False
67,noise,44,165,214,noise,noise,noise,noise,noise,noise,,,False
68,glitch hop,2,2,2,glitch hop,glitch hop,glitch hop,glitch hop,glitch hop,glitch hop,,,False
69,dub,27,98,126,dub,dub,dub,dub,dub,dub,,,False
70,dubstep,29,45,75,dubstep,dubstep,dubstep,dubstep,dubstep,dubstep,,,False
71,hiphop,12,29,30,hiphop,hiphop,hiphop,hip hop,hip hop,hip-hop,170,,False
72,hard rock,235,496,1784,hard rock,hard rock,hard rock,hard rock,hard rock,hard rock,175,,False
73,rock,671,2248,7459,rock,rock,rock,rock,rock,rock,,,False
74,synthpop,131,361,839,synthpop,synthpop,synthpop,synth pop,synth pop,synth-pop,169 | 1691 | 1692,,False
75,psychedelic rock,67,93,217,psychedelic rock,psychedelic rock,psychedelic rock,psychedelic rock,psychedelic rock,psychedelic rock,,,False
76,progressive metal,99,216,503,progressive metal,progressive metal,progressive metal,progressive metal,progressive metal,progressive metal,289,,False
77,ambient rock,1,1,1,ambient rock,ambient rock,ambient rock,ambient rock,ambient rock,ambient rock,,,False
78,alternative rock,374,862,2619,alternative rock,alternative rock,alternative rock,alternative rock,alternative rock,alternative rock,239,,False
79,alternative,532,1717,5223,alternative,alternative,alternative,alternative,alternative,alternative,164 | 165 | 166 | 236 | 237 | 238,,False
80,glam rock,51,58,149,glam rock,glam rock,glam rock,glam rock,glam rock,glam rock,,,False
81,indie,450,1505,4422,indie,indie,indie,indie,indie,indie,,,False
82,doom metal,44,78,163,doom metal,doom metal,doom metal,doom metal,doom metal,doom metal,,,False
83,jazz,176,434,969,jazz,jazz,jazz,jazz,jazz,jazz,,,False
84,indie rock,262,759,2053,indie rock,indie rock,indie rock,indie rock,indie rock,indie rock,267,,False
85,funk,95,209,457,funk,funk,funk,funk,funk,funk,264,,False
86,ebm,51,187,505,ebm,ebm,ebm,ebm,ebm,ebm,,,False
87,post-rock,97,241,616,post-rock,post rock,post-rock,post rock,post rock,post-rock,177,,False
88,psychedelic,127,341,682,psychedelic,psychedelic,psychedelic,psychedelic,psychedelic,psychedelic,217,,False
89,symphonic metal,62,88,239,symphonic metal,symphonic metal,symphonic metal,symphonic metal,symphonic metal,symphonic metal,,,False
90,trance,82,225,461,trance,trance,trance,trance,trance,trance,,,False
91,thrash metal,111,158,653,thrash metal,thrash metal,thrash metal,thrash metal,thrash metal,thrash metal,,,False
92,dope,4,53,54,dope,dope,dope,dope,dope,dope,,,False
93,israeli,3,3,3,israeli,israeli,israeli,israeli,israeli,israeli,,,False
94,winter,4,13,13,winter,winter,winter,winter,winter,winter,,,False
95,autumn,2,31,31,autumn,autumn,autumn,autumn,autumn,autumn,,,False
96,spring,2,15,15,spring,spring,spring,spring,spring,spring,,,False
97,want,1,5,5,want,want,want,want,want,want,,,False
98,summer,24,103,111,summer,summer,summer,summer,summer,summer,,,False
99,sunshine,1,4,4,sunshine,sunshine,sunshine,sunshine,sunshine,sunshine,,,False
100,hip hop under,1,1,1,hip hop under,hip hop under,hip hop under,hip hop under,hip hop under,hip hop under,,,False
101,raptuga,1,1,1,raptuga,raptuga,raptuga,raptuga,raptuga,raptuga,,,False
102,hip-hop,183,549,1366,hip-hop,hip hop,hip-hop,hip hop,hip hop,hip-hop,170,,False
103,rap,133,364,846,rap,rap,rap,rap,rap,rap,,,False
104,chill out,12,20,20,chill out,chill out,chill out,chill out,chill out,chill out,193,,False
105,house,76,261,397,house,house,house,house,house,house,,,False
106,taraxinha,0,0,0,taraxinha,taraxinha,taraxinha,taraxinha,taraxinha,taraxinha,,,False
107,kizomba,0,0,0,kizomba,kizomba,kizomba,kizomba,kizomba,kizomba,,,False
108,rock and roll,35,117,187,rock and roll,rock and roll,rock and roll,rock'n'roll,rock'n'roll,rock'n'roll,209 | 210 | 211 | 212,,False
109,pop rock,165,366,808,pop rock,pop rock,pop rock,pop rock,pop rock,pop rock,173 | 174,,False
110,kizomba zouk,0,0,0,kizomba zouk,kizomba zouk,kizomba zouk,kizomba zouk,kizomba zouk,kizomba zouk,,,False
111,70 hits,0,0,0,70 hits,70 hits,70 hits,70 hits,70 hits,70 hits,,,False
112,underground hip hp,1,1,1,underground hip hp,underground hip hp,underground hip hp,underground hip hp,underground hip hp,underground hip hp,,,False
113,hip hop angolano,1,1,1,hip hop angolano,hip hop angolano,hip hop angolano,hip hop angolano,hip hop angolano,hip hop angolano,,,False
114,luso hip hop,1,1,1,luso hip hop,luso hip hop,luso hip hop,luso hip hop,luso hip hop,luso hip hop,,,False
115,french rap,1,1,1,french rap,french rap,french rap,french rap,french rap,french rap,,,False
116,jam,5,12,13,jam,jam,jam,jam,jam,jam,,,False
117,kwasa,1,1,1,kwasa,kwasa,kwasa,kwasa,kwasa,kwasa,,,False
118,semba,1,1,1,semba,semba,semba,semba,semba,semba,,,False
119,angola,1,1,1,angola,angola,angola,angola,angola,angola,,,False
120,world music,14,75,79,world music,world music,world music,world music,world music,world music,,,False
121,uk,40,259,376,uk,uk,uk,uk,uk,uk,,,False
122,old school,17,51,56,old school,old school,old school,old school,old school,old school,,,False
123,new york,18,37,43,new york,new york,new york,new york,new york,new york,,,False
124,pop dance,6,33,36,pop dance,pop dance,pop dance,pop dance,pop dance,pop dance,,,False
125,manguraunderground,0,0,0,manguraunderground,manguraunderground,manguraunderground,manguraunderground,manguraunderground,manguraunderground,,,False
126,zouk,0,0,0,zouk,zouk,zouk,zouk,zouk,zouk,,,False
127,seen live,123,1001,1426,seen live,seen live,seen live,seen live,seen live,seen live,,,False
128,hit,15,61,64,hit,hit,hit,hit,hit,hit,,,False
129,music idol,1,1,1,music idol,music idol,music idol,music idol,music idol,music idol,,,False
130,female vocalists,440,1379,4207,female vocalists,female vocalists,female vocalists,female vocalist,female vocalist,female vocalist,1 | 262 | 263 | 276 | 277,,False
131,girl groups,12,12,19,girl groups,girl groups,girl groups,girl group,girl group,girl group,49,,False
132,girls,6,6,6,girls,girls,girls,girls,girls,girls,74,Keep separate. Flagged: ambiguous gender/group classification.,True
133,deutschsprachig,0,0,0,deutschsprachig,deutschsprachig,deutschsprachig,deutschsprachig,deutschsprachig,deutschsprachig,,,False
134,singer-songwriter,221,865,1826,singer-songwriter,singer songwriter,singer-songwriter,singer songwriter,singer songwriter,singer-songwriter,2,,False
135,german artists,1,1,1,german artists,german artists,german artists,german artists,german artists,german artists,,,False
136,bundesvision song contest 2006,1,1,1,bundesvision song contest 2006,bundesvision song contest 2006,bundesvision song contest 2006,bundesvision song contest 2006,bundesvision song contest 2006,bundesvision song contest 2006,,,False
137,specials to 3mmey,1,50,50,specials to 3mmey,specials to 3mmey,specials to 3mmey,specials to 3mmey,specials to 3mmey,specials to 3mmey,,,False
138,hard rock - metal,1,14,14,hard rock - metal,hard rock metal,hard rock - metal,hard rock metal,hard rock metal,hard rock - metal,,,False
139,j-rock,27,73,164,j-rock,j rock,j-rock,j rock,j rock,j-rock,179 | 180,,False
140,j-pop,36,115,209,j-pop,j pop,j-pop,j pop,j pop,j-pop,181 | 182,,False
141,visual kei,14,65,97,visual kei,visual kei,visual kei,visual kei,visual kei,visual kei,208,,False
142,electronic - trance - psytrance,1,2,2,electronic - trance - psytrance,electronic trance psytrance,electronic - trance - psytrance,electronic trance psytrance,electronic trance psytrance,electronic - trance - psytrance,,,False
143,classical - pop,1,4,4,classical - pop,classical pop,classical - pop,classical pop,classical pop,classical - pop,,,False
144,arabic,12,34,49,arabic,arabic,arabic,arabic,arabic,arabic,244,,False
145,kpop,10,32,38,kpop,kpop,kpop,k pop,k pop,k-pop,183,,False
146,jaebeom,1,1,1,jaebeom,jaebeom,jaebeom,jaebeom,jaebeom,jaebeom,,,False
147,top,3,26,26,top,top,top,top,top,top,,,False
148,gd,1,1,1,gd,gd,gd,gd,gd,gd,,,False
149,g-dragon,1,1,1,g-dragon,g dragon,g-dragon,g dragon,g dragon,g-dragon,,,False
150,2pm,0,0,0,2pm,2pm,2pm,2pm,2pm,2pm,,,False
151,wonder girls,0,0,0,wonder girls,wonder girls,wonder girls,wonder girls,wonder girls,wonder girls,,,False
152,jyp,0,0,0,jyp,jyp,jyp,jyp,jyp,jyp,,,False
153,junsu,0,0,0,junsu,junsu,junsu,junsu,junsu,junsu,,,False
154,2am,0,0,0,2am,2am,2am,2am,2am,2am,,,False
155,park jaebum,1,1,1,park jaebum,park jaebum,park jaebum,park jaebum,park jaebum,park jaebum,,,False
156,park jaebeom,1,1,1,park jaebeom,park jaebeom,park jaebeom,park jaebeom,park jaebeom,park jaebeom,,,False
157,jaebum,1,1,1,jaebum,jaebum,jaebum,jaebum,jaebum,jaebum,,,False
158,jaywalkers,1,1,1,jaywalkers,jaywalkers,jaywalkers,jaywalkers,jaywalkers,jaywalkers,,,False
159,anime,18,60,84,anime,anime,anime,anime,anime,anime,,,False
160,noise rock,14,42,48,noise rock,noise rock,noise rock,noise rock,noise rock,noise rock,,,False
161,kim jong kook,0,0,0,kim jong kook,kim jong kook,kim jong kook,kim jong kook,kim jong kook,kim jong kook,,,False
162,soya,0,0,0,soya,soya,soya,soya,soya,soya,,,False
163,niece,0,0,0,niece,niece,niece,niece,niece,niece,,,False
164,k-pop,19,50,87,k-pop,k pop,k-pop,k pop,k pop,k-pop,183,,False
165,good music,4,13,13,good music,good music,good music,good music,good music,good music,,,False
166,death cab for cutie,3,1,3,death cab for cutie,death cab for cutie,death cab for cutie,death cab for cutie,death cab for cutie,death cab for cutie,,,False
167,rnb,161,374,1264,rnb,rnb,rnb,r'n'b,r'n'b,r'n'b,184 | 185 | 186,,False
168,teen rock,1,1,1,teen rock,teen rock,teen rock,teen rock,teen rock,teen rock,,,False
169,pop punk,117,167,527,pop punk,pop punk,pop punk,pop punk,pop punk,pop punk,,,False
170,grunge,139,111,408,grunge,grunge,grunge,grunge,grunge,grunge,,,False
171,my fav punk band,1,1,1,my fav punk band,my fav punk band,my fav punk band,my fav punk band,my fav punk band,my fav punk band,,,False
172,so cool,2,2,2,so cool,so cool,so cool,so cool,so cool,so cool,,,False
173,lyceum,0,0,0,lyceum,lyceum,lyceum,lyceum,lyceum,lyceum,,,False
174,belarussian pop,0,0,0,belarussian pop,belarussian pop,belarussian pop,belarussian pop,belarussian pop,belarussian pop,,,False
175,belarussian rnb,0,0,0,belarussian rnb,belarussian rnb,belarussian rnb,belarussian rnb,belarussian rnb,belarussian rnb,,,False
176,emo,107,221,499,emo,emo,emo,emo,emo,emo,,,False
177,nu metal,94,110,451,nu metal,nu metal,nu metal,nu metal,nu metal,nu metal,,,False
178,screamo,99,173,465,screamo,screamo,screamo,scream,scream,scream,328,,False
179,gothic,79,190,406,gothic,gothic,gothic,gothic,gothic,gothic,309,,False
180,post-hardcore,88,187,564,post-hardcore,post hardcore,post-hardcore,post hardcore,post hardcore,post-hardcore,,,False
181,punk,242,514,1288,punk,punk,punk,punk,punk,punk,,,False
182,punk rock,174,283,736,punk rock,punk rock,punk rock,punk rock,punk rock,punk rock,176,,False
183,christian rock,26,77,167,christian rock,christian rock,christian rock,christian rock,christian rock,christian rock,215,,False
184,soundtrack,145,580,933,soundtrack,soundtrack,soundtrack,soundtrack,soundtrack,soundtrack,6,,False
185,acoustic,190,589,1042,acoustic,acoustic,acoustic,acoustic,acoustic,acoustic,206 | 207,,False
186,emocore,47,70,138,emocore,emocore,emocore,emocore,emocore,emocore,,,False
187,electronica,166,738,1268,electronica,electronica,electronica,electronic,electronic,electronic,198 | 199 | 200 | 201 | 202 | 299 | 300,,False
188,polish,33,102,162,polish,polish,polish,polish,polish,polish,,,False
189,industrial rock,21,50,80,industrial rock,industrial rock,industrial rock,industrial rock,industrial rock,industrial rock,,,False
190,gothic rock,56,89,164,gothic rock,gothic rock,gothic rock,gothic rock,gothic rock,gothic rock,310,,False
191,instrumental,192,670,1185,instrumental,instrumental,instrumental,instrumental,instrumental,instrumental,3,,False
192,classic rock,252,471,2282,classic rock,classic rock,classic rock,classic rock,classic rock,classic rock,,,False
193,country,93,211,505,country,country,country,country,country,country,,,False
194,hardcore,150,403,803,hardcore,hardcore,hardcore,hardcore,hardcore,hardcore,,,False
195,british,254,674,2085,british,british,british,british,british,british,260,,False
196,polish rock,7,18,35,polish rock,polish rock,polish rock,polish rock,polish rock,polish rock,,,False
197,gangsta rap,18,47,79,gangsta rap,gangsta rap,gangsta rap,gangsta rap,gangsta rap,gangsta rap,,,False
198,rapcore,19,31,46,rapcore,rapcore,rapcore,rapcore,rapcore,rapcore,,,False
199,electropop,96,141,294,electropop,electropop,electropop,electronic pop,electronic pop,electronic-pop,203 | 204 | 205 | 301,,False
200,hot,50,110,148,hot,hot,hot,hot,hot,hot,,,False
201,guilty pleasures,15,118,132,guilty pleasures,guilty pleasures,guilty pleasures,guilty pleasure,guilty pleasure,guilty pleasure,13,Flagged: personal/subjective preference.,True
202,electro pop,15,70,81,electro pop,electro pop,electro pop,electronic pop,electronic pop,electronic-pop,203 | 204 | 205 | 301,,False
203,disco,64,130,241,disco,disco,disco,disco,disco,disco,,,False
204,fierce,4,7,10,fierce,fierce,fierce,fierce,fierce,fierce,,,False
205,urban pop,2,4,4,urban pop,urban pop,urban pop,urban pop,urban pop,urban pop,,,False
206,<3,45,238,354,<3,<3,<3,<3,<3,<3,,,False
207,want to see live,13,47,48,want to see live,want to see live,want to see live,want to see live,want to see live,want to see live,,,False
208,diva,79,60,122,diva,diva,diva,diva,diva,diva,21,,False
209,legend,81,67,171,legend,legend,legend,legend,legend,legend,16,Flagged: subjective/evaluative label.,True
210,00s,65,634,800,00s,00s,00s,2000s,2000s,2000s,142 | 155 | 156 | 163,,False
211,thats hot,2,2,2,thats hot,thats hot,thats hot,thats hot,thats hot,thats hot,,,False
212,criminal,1,1,1,criminal,criminal,criminal,criminal,criminal,criminal,,,False
213,beautiful,135,462,673,beautiful,beautiful,beautiful,beautiful,beautiful,beautiful,,,False
214,big voice,4,5,5,big voice,big voice,big voice,big voice,big voice,big voice,,,False
215,icon,10,9,15,icon,icon,icon,icon,icon,icon,,,False
216,american,87,576,823,american,american,american,american,american,american,8,,False
217,untalented,1,1,1,untalented,untalented,untalented,untalented,untalented,untalented,,,False
218,slut,3,3,3,slut,slut,slut,slut,slut,slut,,,False
219,whore,3,2,3,whore,whore,whore,whore,whore,whore,,,False
220,fake boobs,1,1,1,fake boobs,fake boobs,fake boobs,fake boobs,fake boobs,fake boobs,,,False
221,the hills,1,1,1,the hills,the hills,the hills,the hills,the hills,the hills,,,False
222,people who have no talent,1,1,1,people who have no talent,people who have no talent,people who have no talent,people who have no talent,people who have no talent,people who have no talent,,,False
223,umtalented,1,1,1,umtalented,umtalented,umtalented,umtalented,umtalented,umtalented,,,False
224,bad,1,1,1,bad,bad,bad,bad,bad,bad,,,False
225,money,1,1,1,money,money,money,money,money,money,,,False
226,california,10,44,49,california,california,california,california,california,california,,,False
227,comedy,28,40,56,comedy,comedy,comedy,comedy,comedy,comedy,,,False
228,catchy,43,251,335,catchy,catchy,catchy,catchy,catchy,catchy,,,False
229,epic,70,242,300,epic,epic,epic,epic,epic,epic,,,False
230,love it,18,123,133,love it,love it,love it,love it,love it,love it,,,False
231,ballad,57,274,381,ballad,ballad,ballad,ballad,ballad,ballad,11,,False
232,addictive,13,68,84,addictive,addictive,addictive,addictive,addictive,addictive,,,False
233,dark,27,93,102,dark,dark,dark,dark,dark,dark,,,False
234,amazing,104,382,539,amazing,amazing,amazing,amazing,amazing,amazing,,,False
235,dancepop,2,2,2,dancepop,dancepop,dancepop,dancepop,dancepop,dancepop,,,False
236,the fame monster,0,0,0,the fame monster,the fame monster,the fame monster,the fame monster,the fame monster,the fame monster,,,False
237,#1,0,0,0,#1,#1,#1,#1,#1,#1,,,False
238,sexy,142,377,662,sexy,sexy,sexy,sexy,sexy,sexy,,,False
239,spanish new wave,1,5,5,spanish new wave,spanish new wave,spanish new wave,spanish new wave,spanish new wave,spanish new wave,,,False
240,80s pop espanol,1,6,6,80s pop espanol,80s pop espanol,80s pop espanol,80s pop espanol,80s pop espanol,80s pop espanol,,,False
241,spanish pop,1,9,9,spanish pop,spanish pop,spanish pop,spanish pop,spanish pop,spanish pop,,,False
242,power pop,24,90,112,power pop,power pop,power pop,power pop,power pop,power pop,,,False
243,spanish rock,4,15,15,spanish rock,spanish rock,spanish rock,spanish rock,spanish rock,spanish rock,,,False
244,spanish pop-rock,1,4,4,spanish pop-rock,spanish pop rock,spanish pop-rock,spanish pop rock,spanish pop rock,spanish pop-rock,,,False
245,garage,13,42,48,garage,garage,garage,garage,garage,garage,,,False
246,pop espanol,1,3,3,pop espanol,pop espanol,pop espanol,pop espanol,pop espanol,pop espanol,,,False
247,60s,90,284,743,60s,60s,60s,1960s,1960s,1960s,143 | 228 | 234,,False
248,garage revival,1,9,9,garage revival,garage revival,garage revival,garage revival,garage revival,garage revival,,,False
249,garage rock,41,97,164,garage rock,garage rock,garage rock,garage rock,garage rock,garage rock,,,False
250,60s psychedelic,1,7,7,60s psychedelic,60s psychedelic,60s psychedelic,60s psychedelic,60s psychedelic,60s psychedelic,,,False
251,swing,20,40,63,swing,swing,swing,swing,swing,swing,,,False
252,mod,7,22,37,mod,mod,mod,mod,mod,mod,,,False
253,rockabilly,25,65,93,rockabilly,rockabilly,rockabilly,rockabilly,rockabilly,rockabilly,,,False
254,freakbeat,1,3,3,freakbeat,freakbeat,freakbeat,freakbeat,freakbeat,freakbeat,,,False
255,rock espanol,1,2,2,rock espanol,rock espanol,rock espanol,rock espanol,rock espanol,rock espanol,,,False
256,retro swing,1,5,5,retro swing,retro swing,retro swing,retro swing,retro swing,retro swing,,,False
257,swing revival,1,5,5,swing revival,swing revival,swing revival,swing revival,swing revival,swing revival,,,False
258,neo swing,2,5,8,neo swing,neo swing,neo swing,neo swing,neo swing,neo swing,,,False
259,psychobilly,12,25,40,psychobilly,psychobilly,psychobilly,psychobilly,psychobilly,psychobilly,,,False
260,grave stompers,1,14,14,grave stompers,grave stompers,grave stompers,grave stompers,grave stompers,grave stompers,,,False
261,punkabilly,3,19,23,punkabilly,punkabilly,punkabilly,punkabilly,punkabilly,punkabilly,,,False
262,50s rock revival,1,14,14,50s rock revival,50s rock revival,50s rock revival,50s rock revival,50s rock revival,50s rock revival,,,False
263,80s garage,1,4,4,80s garage,80s garage,80s garage,80s garage,80s garage,80s garage,,,False
264,90s pop espanol,1,4,4,90s pop espanol,90s pop espanol,90s pop espanol,90s pop espanol,90s pop espanol,90s pop espanol,,,False
265,ska,46,96,191,ska,ska,ska,ska,ska,ska,,,False
266,psychedelic garage,1,5,5,psychedelic garage,psychedelic garage,psychedelic garage,psychedelic garage,psychedelic garage,psychedelic garage,,,False
267,psychedelic garage revival,1,4,4,psychedelic garage revival,psychedelic garage revival,psychedelic garage revival,psychedelic garage revival,psychedelic garage revival,psychedelic garage revival,,,False
268,surf,9,15,25,surf,surf,surf,surf,surf,surf,,,False
269,techno pop,1,11,11,techno pop,techno pop,techno pop,techno pop,techno pop,techno pop,,,False
270,spanish rockabilly,0,0,0,spanish rockabilly,spanish rockabilly,spanish rockabilly,spanish rockabilly,spanish rockabilly,spanish rockabilly,,,False
271,60s garage,1,6,6,60s garage,60s garage,60s garage,60s garage,60s garage,60s garage,,,False
272,garage surf,1,3,3,garage surf,garage surf,garage surf,garage surf,garage surf,garage surf,,,False
273,ska revival,2,9,11,ska revival,ska revival,ska revival,ska revival,ska revival,ska revival,,,False
274,surf revival,1,2,2,surf revival,surf revival,surf revival,surf revival,surf revival,surf revival,,,False
275,post-punk,105,292,747,post-punk,post punk,post-punk,post punk,post punk,post-punk,,,False
276,instro rock,1,5,5,instro rock,instro rock,instro rock,instrumental rock,instrumental rock,instrumental rock,272,,False
277,mod revival,3,3,4,mod revival,mod revival,mod revival,mod revival,mod revival,mod revival,,,False
278,rock urbano,0,0,0,rock urbano,rock urbano,rock urbano,rock urbano,rock urbano,rock urbano,,,False
279,ska punk,12,23,33,ska punk,ska punk,ska punk,ska punk,ska punk,ska punk,,,False
280,rad,1,1,1,rad,rad,rad,rad,rad,rad,,,False
281,grind,4,6,6,grind,grind,grind,grind,grind,grind,,,False
282,spacy,1,1,1,spacy,spacy,spacy,spacy,spacy,spacy,,,False
283,raw,5,27,27,raw,raw,raw,raw,raw,raw,,,False
284,1st take,1,1,1,1st take,1st take,1st take,1st take,1st take,1st take,,,False
285,awesome,96,453,624,awesome,awesome,awesome,awesome,awesome,awesome,,,False
286,pretty,6,14,14,pretty,pretty,pretty,pretty,pretty,pretty,,,False
287,lovely,22,98,103,lovely,lovely,lovely,lovely,lovely,lovely,,,False
288,beatsy,1,1,1,beatsy,beatsy,beatsy,beatsy,beatsy,beatsy,,,False
289,hot guitar,1,1,1,hot guitar,hot guitar,hot guitar,hot guitar,hot guitar,hot guitar,,,False
